### branch topk-metax @ 3bbd537
### 2026-09-15T16:51:34+08:00  host bm-srwl-nj-zone3-d-bw1000-64g-2-7
### PYTHONPATH=src:/usr/local/:

### python: python -> /usr/bin/python
vocab 262144, top_k 512; each case called 3x with fresh inputs

  rows seq_len   split  call1 call2 call3
     1 full         16   ok    ok    ok 
     1 partial      16   ok    ok    ok 
     1 short        16   ok    ok    ok 
     4 full         16   ok    ok    ok 
     4 partial      16   ok    ok    ok 
     4 short        16   ok    ok    ok 
     8 full          8   ok    ok    ok 
     8 partial       8   ok    ok    ok 
     8 short         8   ok    ok    ok 
    16 full          8   ok    ok    ok 
    16 partial       8   ok    ok    ok 
    16 short         8   ok    ok    ok 
    24 full          4   ok    ok    ok 
    24 partial       4   ok    ok    ok 
    24 short         4   ok    ok    ok 
    32 full          4   ok    ok    ok 
    32 partial       4   ok    ok    ok 
    32 short         4   ok    ok    ok 
    56 full          4   ok    ok    ok 
    56 partial       4   ok    ok    ok 
    56 short         4   ok    ok    ok 
    79 full          4   ok    ok    ok 
    79 partial       4   ok    ok    ok 
    79 short         4   ok    ok    ok 

  plans cached: 8; direct runners: 40
  ALL CORRECT
