### branch topk-metax @ ac41ac8
### 2026-09-23T15:04:19+08:00  host bm-srwl-nj-zone3-d-bw1000-64g-2-7
### PYTHONPATH=src:/usr/local/:

### python: python -> /usr/bin/python
         shape                   impl       us x shipped  implied   flagged   S mean   band mean/max   answer
    16383x4095                shipped   1109.3     1.000    1.041         -        -               -   ok
    16383x4095     mvp B512 w2 75/135   1050.6     1.056    1.099        76      372      333/543      ok
    16383x4095     mvp B512 w4 75/135   1347.1     0.824    0.857        76      372      333/543      ok
    16383x4095     mvp B512 w2 70/150   1028.1     1.079    1.123      1584      340      443/678      ok
    12961x4100                shipped    894.7     1.000    0.761         -        -               -   ok
    12961x4100     mvp B512 w2 75/135    860.4     1.040    0.791        61      365      341/539      ok
    12961x4100     mvp B512 w4 75/135   1111.8     0.805    0.612        61      365      341/539      ok
    12961x4100     mvp B512 w2 70/150    850.1     1.052    0.801       953      341      435/669      ok
    16380x5115                shipped   1331.0     1.000    0.927         -        -               -   ok
    16380x5115     mvp B512 w2 75/135   1136.9     1.171    1.085       186      367      347/587      ok
    16380x5115     mvp B512 w4 75/135   1456.8     0.914    0.847       186      367      347/587      ok
    16380x5115     mvp B512 w2 70/150   1103.0     1.207    1.119      2060      337      445/700      ok
